A	TRACTO ALIMENTARIO Y METABOLISMO
H03BX02	DIBROMOTIROSINA
H03C	TERAPIA CON YODO
H03CA	TERAPIA CON YODO
H04	HORMONAS PANCREÁTICAS
H04A	HORMONAS GLUCOGENOLÍTICAS
H04AA	HORMONAS GLUCOGENOLÍTICAS
H04AA01	GLUCAGÓN
H05	HOMEOSTASIS DEL CALCIO
H05A	HORMONAS PARATIROIDEAS
H05AA	HORMONAS PARATIROIDEAS
H05AA01	EXTRACTOS DE GLÁNDULA PARATIROIDEA
H05AA02	TERIPARATIDA
H05AA03	HORMONA PARATIROIDEA
H05B	HORMONAS CONTRA LA HORMONA PARATIROIDEA
H05BA	PREPARADOS CON CALCITONINA
H05BA01	CALCITONINA DE SALMÓN SINTÉTICA
H05BA02	CALCITONINA DE CERDO NATURAL
H05BA03	CALCITONINA HUMANA SINTÉTICA
H05BA04	ELCATONINA
H05BX	OTROS AGENTES ANTIPARATIROIDEOS
H05BX01	CINACALCET
H05BX02	PARICALCITOL
J	ANTIINFECCIOSOS PARA USO SISTÉMICO
J01	ANTIBACTERIANOS PARA USO SISTÉMICO
J01A	TETRACICLINAS
J01AA	TETRACICLINAS
J01AA01	DEMECLOCICLINA
J01AA02	DOXICICLINA
J01AA03	CLORTETRACICLINA
J01AA04	LIMECICLINA
J01AA05	METACICLINA
J01AA06	OXITETRACICLINA
J01AA07	TETRACICLINA
J01AA08	MINOCICLINA
J01AA09	ROLITETRACICLINA
J01AA10	PENIMEPICICLINA
J01AA11	CLOMOCICLINA
J01AA12	TIGECICLINA
J01AA20	COMBINACIONES DE TETRACICLINAS
J01AA56	OXITETRACICLINA, COMBINACIONES
J01B	ANFENICOLES
J01BA	ANFENICOLES
J01BA01	CLORANFENICOL
J01BA02	TIANFENICOL
J01BA52	TIANFENICOL, COMBINACIONES
J01C	A PENICILINAS CON ESPECTRO AMPLIADO
J01CA	PENICILINAS DE AMPLIO ESPECTRO
J01CA01	AMPICILINA
J01CA02	PIVAMPICILINA
J01CA03	CARBENICILINA
J01CA04	AMOXICILINA
J01CA05	CARINDACILINA
J01CA06	BACAMPICILINA
J01CA07	EPICILINA
J01CA08	PIVMECILINA
J01CA09	AZLOCILINA
J01CA10	MEZLOCILINA
J01CA11	MECILINA
J01CA12	PIPERACILINA
J01CA13	TICARCILINA
J01CA14	METAMPICILINA
J01CA15	TALAMPICILINA
J01CA16	SULBENICILINA
J01CA17	TEMOCILINA
J01CA18	HETACILINA
J01CA20	COMBINACIONES
J01CA51	AMPICILINA, COMBINACIONES
J01CE	PENICILINAS SENSIBLES A LA BETALACTAMASA
J01CE01	BENCILPENICILINA
J01CE02	FENOXIMETILPENICILINA
J01CE03	PROPICILINA
J01CE04	AZIDOCILINA
J01CE05	FENETICILINA
J01CE06	PENAMECILINA
J01CE07	CLOMETOCILINA
J01CE08	BENZATINA BENCILPENICILINA
J01CE09	PROCAÍNA BENCILPENICILINA
J01CE10	BENZATINA FENOXIMETILPENICILINA
J01CE30	COMBINACIONES
J01CF	PENICILINAS RESISTENTES A LA BETALACTAMASA
J01CF01	DICLOXACILINA
J01CF02	CLOXACILINA
J01CF03	METICILINA
J01CF04	OXACILINA
J01CF05	FLUCLOXACILINA
J01CG	INHIBIDORES DE LA BETALACTAMASA
J01CG01	SULBACTAN
J01CG02	TAZOBACTAN
J01CR	ASOCIACIONES DE PENICILINAS
J01CR02	AMOXICILINA E INHIBIDOR DE LA ENZIMA
J01CR05	PIPERACILINA E INHIBIDOR DE LA ENZIMA
J01D	B CEFALOSPORINAS DE 1ª GENERACIÓN
J01DB	CEFALOSPORINAS DE PRIMERA GENERACIÓN
J01DB01	CEFALEXINA
J01DB02	CEFALORIDINA
J01DB03	CEFALOTINA
J01DB04	CEFAZOLINA
J01DB05	CEFADROXIL
J01DB06	CEFAZEDONA
J01DB07	CEFATRIZINA
J01DB08	CEFAPIRINA
J01DB09	CEFRADINA
J01DB10	CEFACETRIL
J01DB11	CEFROXADINA
J01DB12	CEFTEZOL
J01DC	CEFALOSPORINAS DE 2ª GENERACIÓN
J01DC01	CEFOXITINA
J01DC02	CEFUROXIMA
J01DC03	CEFAMANDOL
J01DC04	CEFACLOR
J01DC05	CEFOTETAN
J01DC06	CEFONICIDA
J01DC07	CEFOTIAN
J01DC08	LORACARBEF
J01DC09	CEFMETAZOL
J01DC10	CEFPROZIL
J01DC11	CEFORANIDA
J01DD	CEFALOSPORINAS DE 3ª GENERACIÓN
J01DD01	CEFOTAXIMA
J01DD02	CEFTAZIDIMA
J01DD03	CEFSULODIN
J01DD04	CEFTRIAXONA
J01DD05	CEFMENOXIMA
J01DD06	LATAMOXEF
J01DD07	CEFTIZOXIMA
J01DD08	CEFIXIMA
J01DD09	CEFODIZIMA
J01DD10	CEFETAMET
J01DD11	CEFPIRAMIDA
J01DD12	CEFOPERAZONA
J01DD13	CEFPODOXIMA
J01DD14	CEFTIBUTEN
J01DD15	CEFDINIR
J01DD16	CEFDITOREN
J01DD54	CEFTRIAXONA, COMBINACIONES
J01DD62	CEFOPERAZONA, COMBINACIONES
J01DE	CEFALOSPORINAS DE 4ª GENERACIÓN
J01DE01	CEFEPIMA
J01DE02	CEFPIROMA
J01DF	MONOBACTÁMICOS
J01DF01	AZTREONAM
J01DH	DERIVADOS DEL CARBAPENEM
J01DH02	MEROPENEM
J01DH03	ERTAPENEM
J01DH04	DORIPENEM
J01DH51	IMIPENEM E INHIBIDOR ENZIMÁTICO
J01E	SULFONAMIDAS Y TRIMETOPRIMA
J01EA	TRIMETOPRIMA Y DERIVADOS
J01EA01	TRIMETHOPRIMA
J01EA02	BRODIMOPRIMA
J01EB	SULFONAMIDAS DE ACCIÓN CORTA
J01EB01	SULFAISODIMIDINA
J01EB02	SULFAMETIZOL
J01EB03	SULFADIMIDINA
J01EB04	SULFAPIRIDINA
J01EB05	SULFAFURAZOL
J01EB06	SULFANILAMIDA
J01EB07	SULFATIAZOL
J01EB08	SULFATIOUREA
J01EB20	COMBINACIONES
J01EC	SULFONAMIDAS DE ACCIÓN INTERMEDIA
J01EC01	SULFAMETOXAZOL
J01EC02	SULFADIAZINA
J01EC03	SULFAMOXOL
J01EC20	COMBINACIONES
J01ED	SULFONAMIDAS DE ACCIÓN LARGA
J01ED01	SULFADIMETOXINA
J01ED02	SULFALEN
J01ED03	SULFAMETOMIDINA
J01ED04	SULFAMETOXIDIAZINA
J01ED05	SULFAMETOXIPIRIDAZINA
J01ED06	SULFAPERIN
J01ED07	SULFAMERAZINA
J01ED08	SULFAFENAZOL
J01ED09	SULFAMAZONA
J01ED20	COMBINACIONES
J01EE	COMBINACIONES DE SULFONAMIDAS Y TRIMETOPRIMA, INCL DERIVADOS
J01EE01	SULFAMETOXAZOL Y TRIMETOPRIMA
J01EE02	SULFADIAZINA Y TRIMETOPRIMA
J01EE03	SULFAMETROL Y TRIMETOPRIMA
J01EE04	SULFAMOXOL Y TRIMETOPRIMA
J01EE05	SULFADIMIDINA Y TRIMETOPRIMA
J01EE06	SULFADIAZINA Y TETROXOPRIMA
J01EE07	SULFAMERAZINA Y TRIMETOPRIMA
J01F	MACRÓLIDOS, LINCOSAMIDAS Y ESTREPTOGRAMINAS
J01FA	MACRÓLIDOS
J01FA01	ERITROMICINA
J01FA02	ESPIRAMICINA
J01FA03	MIDECAMICINA
J01FA05	OLEANDOMICINA
J01FA06	ROXITROMICINA
J01FA07	JOSAMICINA
J01FA08	TROLEANDOMICINA
J01FA09	CLARITROMICINA
J01FA10	AZITROMICINA
J01FA11	MIOCAMICINA
J01FA12	ROQUITAMICINA
J01FA13	DIRITROMICINA
J01FA14	FLURITROMICINA
J01FA15	TELITROMICINA
J01FF	LINCOSAMIDAS
J01FF01	CLINDAMICINA
J01FF02	LINCOMICINA
J01FG	ESTREPTOGRAMINAS
J01FG01	PRISTINAMICINA
J01FG02	QUINUPRISTINA/DALFOPRISTINA
J01G	A ESTREPTOMICINAS
J01GA	ESTREPTOMICINAS
J01GA01	ESTREPTOMICINA
J01GA02	ESTREPTODUOCINA
J01GB	OTROS AMINOGLUCÓSIDOS
J01GB01	TOBRAMICINA
J01GB03	GENTAMICINA
J01GB04	KANAMICINA
J01GB05	NEOMICINA
J01GB06	AMIKACINA
J01GB07	NETILMICINA
J01GB08	SISOMICINA
J01GB09	DIBEKACINA
J01GB10	RIBOSTAMICINA
J01GB11	ISEPAMICINA
J01M	QUINOLONAS ANTIBACTERIANAS
J01MA	FLUOROQUINOLONAS
J01MA01	OFLOXACINO
J01MA02	CIPROFLOXACINO
J01MA03	PEFLOXACINO
J01MA04	ENOXACINO
J01MA05	TEMAFLOXACINO
J01MA06	NORFLOXACINO
J01MA07	LOMEFLOXACINO
J01MA08	FLEROXACINO
J01MA09	ESPARFLOXACINO
J01MA10	RUFLOXACINO
J01MA11	GREPAFLOXACINO
J01MA12	LEVOFLOXACINO
J01MA13	TROVAFLOXACINO
J01MA14	MOXIFLOXACINO
J01MA15	GEMIFLOXACINO
J01MA16	GATIFLOXACINO
J01MA17	PRULIFLOXACINO
J01MA18	PAZUFLOXACINO
J01MA19	GARENOXACINO
J01MB	OTRAS QUINOLONAS
J01MB01	ROSOXACINA
J01MB02	NALIDIXICO, ÁCIDO
J01MB03	PIROMIDICO, ÁCIDO
J01MB04	PIPEMIDICO, ÁCIDO
J01MB05	OXOLINICO, ÁCIDO
J01MB06	CINOXACINA
J01MB07	FLUMEQUINA
J01R	COMBINACIONES DE ANTIBACTERIANOS
J01RA	COMBINACIONES DE ANTIBACTERIANOS
J01RA01	PENICILINAS, CON OTROS ANTIBACTERIANOS
J01RA02	SULFONAMIDAS, CON OTROS ANTIBACTERIANOS
J01RA03	CEFUROXIMA, CON OTROS ANTIBACTERIANOS
J01RA04	ESPIRAMICINA, CON OTROS ANTIBACTERIANOS
J01X	OTROS ANTIBACTERIANOS
J01XA	GLICOPÉPTIDOS ANTIBACTERIANOS
J01XA01	VANCOMICINA
J01XA02	TEICOPLANINA
J01XA03	TELAVANCINA
J01XB	POLIMIXINAS
J01XB01	COLISTINA
J01XB02	POLIMIXINA B
J01XC	ESTEROIDES ANTIBACTERIANOS
J01XC01	FUSÍDICO, ÁCIDO
J01XD	DERIVADOS IMIDAZÓLICOS
J01XD01	METRONIDAZOL
J01XD02	TINIDAZOL
J01XD03	ORNIDAZOL
J01XE	NITROFURANOS
J01XE01	NITROFURANTOINA
J01XE02	NIFURTOINOL
J01XX	OTROS ANTIBACTERIANOS
J01XX01	FOSFOMICINA
J01XX02	XIBORNOL
J01XX03	CLOFOCTOL
J01XX04	ESPECTINOMICINA
J01XX05	METENAMINA
J01XX06	ÁCIDO MANDÉLICO
J01XX07	NITROXOLINA
J01XX08	LINEZOLID
J01XX09	DAPTOMICINA
J02	ANTIMICÓTICOS DE USO SISTÉMICO
J02A	ANTIMICÓTICOS PARA USO SISTÉMICO
J02AA	ANTIBIÓTICOS
J02AA01	ANFOTERICINA B
J02AA02	TRICOMICINA (O HACHYMICINA)
J02AB	DERIVADOS IMIDAZÓLICOS
J02AB01	MICONAZOL
J02AB02	KETOCONAZOL
J02AC	DERIVADOS TRIAZÓLICOS
J02AC01	FLUCONAZOL
J02AC02	ITRACONAZOL
J02AC03	VORICONAZOL
J02AC04	POSACONAZOL
J02AX	OTROS
J02AX01	FLUCITOSINA
J02AX02	CASPOFUNGINA
J02AX03	MICAFUNGINA
J02AX04	ANIDULAFUNGINA
J02AX05	MICAFUNGINA
J04	ANTIMICOBACTERIAS
J04A	DROGAS PARA EL TRATAMIENTO DE LA TUBERCULOSIS
J04AA	ÁCIDO AMINOSALICÍLICO Y DERIVADOS
J04AA01	ÁCIDO AMINOSALICÍLICO
J04AA02	AMINOSALICILATO DE SODIO
J04AA03	AMINOSALICILATO DE CALCIO
J04AB	ANTIBIÓTICOS
J04AB01	CICLOSERINA
J04AB02	RIFAMPICINA
J04AB03	RIFAMICINA
J04AB04	RIFABUTIN
J04AB05	RIFAPENTINA
J04AB30	CAPREOMICINA
J04AC	HIDRAZIDAS
J04AC01	ISONIAZIDA
J04AC51	ISONIAZIDA, COMBINACIONES
J04AD	DERIVADOS DE LA TIOCARBAMIDA
J04AD01	PROTIONAMIDA
J04AD02	TIOCARLIDA
J04AD03	ETIONAMIDA
J04AK	OTRAS DROGAS PARA EL TRATAMIENTO DE LA TUBERCULOSIS
J04AK01	PIRAZINAMIDA
J04AK02	ETAMBUTOL
J04AK03	TERIZIDONA
J04AK04	MORINAMIDA
J04AM	COMBINACIONES DE DROGAS PARA EL TRATAMIENTO DE LA TUBERCULOSIS
J04AM01	ESTREPTOMICINA E ISONIAZIDA
J04AM02	RIFAMPICINA E ISONIAZIDA
J04AM03	ETAMBUTOL E ISONIAZIDA
J04AM04	TIOACETAZONA E ISONIAZIDA
J04AM05	RIFAMPICINA, PIRAZINAMIDA E ISONIAZIDA
J04AM06	RIFAMPICINA, PIRAZINAMIDA, ETAMBUTOL E ISONIAZIDA
J04B	A DROGAS PARA EL TRATAMIENTO DE LA LEPRA
J04BA	MEDICAMENTOS PARA EL TRATAMIENTO DE LA LEPRA
J04BA01	CLOFAZIMINA
J04BA02	DAPSONA
J04BA03	ALDESULFONA SÓDICA
J05	ANTIVIRALES DE USO SISTÉMICO
J05A	AGENTES DE ACCIÓN DIRECTA
J05AA	TIOSEMICARBAZONAS
J05AA01	METISAZONA
J05AB	NUCLEÓSIDOS Y NUCLEÓTIDOS EXCLUYENDO INHIBIDORES DE LA TRANSCRIPTASA INVERSA
J05AB01	ACICLOVIR
J05AB02	IDOXURIDINA
J05AB03	VIDARABINA
J05AB04	RIBAVIRINA
J05AB06	GANCICLOVIR
J05AB09	FAMCICLOVIR
J05AB11	VALACICLOVIR
J05AB12	CIDOFOVIR
J05AB13	PENCICLOVIR
J05AB14	VALGANCICLOVIR
J05AB15	BRIVUDINA
J05AC	AMINAS CÍCLICAS
J05AC02	RIMANTADINA
J05AC03	TROMANTADINA
J05AD	DERIVADOS DEL ÁCIDO FOSFÓNICO
J05AD01	FOSCARNET
J05AD02	FOSFONET
J05AE	INHIBIDORES DE LA PROTEASA
J05AE01	SAQUINAVIR
J05AE02	INDINAVIR
J05AE03	RITONAVIR
J05AE04	NELFINAVIR
J05AE05	AMPRENAVIR
J05AE06	LOPINAVIR
J05AE07	FOSAMPRENAVIR
J05AE08	ATAZANAVIR
J05AE09	TIPRANAVIR
J05AE10	DARUNAVIR
J05AF	NUCLEÓSIDOS Y NUCLEÓTIDOS INHIBIDORES DE LA TRANSCRIPTASA INVERSA
J05AF01	ZIDOVUDINA
J05AF02	DIDANOSINA
J05AF03	ZALCITABINA
J05AF04	ESTAVUDINA
J05AF05	LAMIVUDINA
J05AF06	ABACAVIR
J05AF07	TENOFOVIR DISOPROXIL
J05AF08	ADEFOVIR DIPIVOXIL
J05AF09	EMTRICITABINA
J05AF10	ENTECAVIR
J05AF11	TELBIVUDINA
J05AG	INHIBIDORES DE LA TRANSCRIPTASA INVERSA NO NUCLEÓSIDOS
J05AG01	NEVIRAPINA
J05AG02	DELAVIRDINA
J05AG03	EFAVIRENZ
J05AG04	ETRAVIRINA
J05AH	INHIBIDORES DE LA NEURANIMIDASA
J05AH01	ZANAMIVIR
J05AH02	OSELTAMIVIR
J05AR	COMBINACIONES DE ANTIVÍRICOS PARA EL TRATAMIENTO DE LAS INFECCIONES POR VIH
J05AR01	ZIDOVUDINA Y LAMIVUDINA
J05AR02	LAMIVUDINA Y ABACAVIR
J05AR03	TENOFOVIR DISOPROXIL Y EMTRICITABINA
J05AR04	ZIDOVUDINA, LAMIVUDINA Y ABACAVIR
J05AR05	ZIDOVUDINA, LAMIVUDINA Y NEVIRAPINA
J05AR06	EMTRICITABINA, TENOFOVIR DISOPROXIL Y EFAVIRENZ
J05AX	OTROS ANTIVÍRICOS
J05AX01	MOROXIDINA
J05AX02	LISOZIMA
J05AX05	INOSINA PRANOBEX
J05AX06	PLECONARIL
J05AX07	ENFUVIRTIDA
J05AX08	RALTEGRAVIR
J05AX09	MARAVIROC
J06	SUEROS INMUNES E INMUNOGLOBULINAS
J06A	SUEROS INMUNES
J06AA	SUEROS INMUNES
J06AA01	DIFTERIA, ANTITOXINA
J06AA02	TÉTANOS, ANTITOXINA
J06AA03	VENENO DE SERPIENTE , ANTISUERO
J06AA04	BOTULISMO, ANTITOXINA
J06AA05	GANGRENA GASEOSA, SUERO
J06AA06	RABIA, SUERO
J06B	INMUNOGLOBULINAS
J06BA	INMUNOGLOBULINAS HUMANAS NORMALES
J06BA01	IMMUNOGLOBULINAS HUMANAS NORMALES PARA ADMINISTRACIÓN EXTRAVASCULAR
J06BA02	IMMUNOGLOBULINAS HUMANAS NORMALES PARA ADMINISTRACIÓN INTRAVASCULAR
J06BB	INMUNOGLOBULINAS ESPECÍFICAS
J06BB01	ANTI-D (RH) INMUNOGLOBULINA
J06BB02	TÉTANOS, INMUNOGLOBULINA
J06BB03	VARICELA/ZÓSTER, INMUNOGLOBULINA
J06BB04	HEPATITIS B, INMUNOGLOBULINA
J06BB05	RABIA, INMUNOGLOBULINA
J06BB06	RUBÉOLA, INMUNOGLOBULINA
J06BB07	VIRUELA, INMUNOGLOBULINA
J06BB08	ESTAFILOCOCOS, INMUNOGLOBULINA
J06BB09	CITOMEGALOVIRUS, INMUNOGLOBULINA
J06BB10	DIFTERIA, INMUNOGLOBULINA
J06BB11	HEPATITIS A, INMUNOGLOBULINA
J06BB12	ENCEFALITIS, INMUNOGLOBULINA
J06BB13	PERTUSIS, INMUNOGLOBULINA
J06BB14	SARAMPIÓN, INMUNOGLOBULINA
J06BB15	PAPERAS, INMUNOGLOBULINA
J06BB16	PALIVIZUMAB
J06BB30	COMBINACIONES
J06BC	OTRAS INMUNOGLOBULINAS
J06BC01	NEBACUMAB
J07	VACUNAS
J07A	VACUNAS ANTIBACTERIANAS
J07AC	VACUNAS CONTRA EL ÁNTRAX
J07AC01	ANTRAX, ANTÍGENO
J07AD	VACUNAS CONTRA LA BRUCELOSIS
J07AD01	BRUCELA, ANTÍGENO
J07AE	VACUNAS CONTRA EL CÓLERA
J07AE01	CÓLERA, CÉLULAS ENTERAS INACTIVADAS
J07AE02	CÓLERA, CÉLULAS VIVAS ATENUADAS
J07AE51	CÓLERA, COMBINACIÓN CON VACUNA TIFOIDEA, CÉLULAS ENTERAS INACTIVADAS
J07AF	VACUNAS ANTIDIFTÉRICAS
J07AF01	DIFTERIA, TOXOIDE
J07AG	VACUNAS CONTRA EL HAEMÓPHILUS INFLUENZAE B
J07AG01	HEMOPHILUS INFLUENZAE B, ANTÍGENO CONJUGADO PURIFICADO
J07AG51	HEMOPHILUS INFLUENZAE B, COMBINACIÓN CON TOXOIDE
J07AG52	HEMOPHILUS INFLUENZAE B, COMBINACIONES CON PERTUSSIS Y TOXOIDES
J07AG53	HEMOPHILUS INFLUENZAE B, COMBINACIONES CON MENINGOCOCO C CONJUGADO
J07AH	VACUNAS ANTIMENINGOCOCO6	J07AH01 MENINGOCOCOS A, ANTÍGENO DE POLISACÁRIDOS PURIFICADO
J07AH02	OTROS ANTÍGENOS MENINGOCÓCICOS DE POLISACÁRIDOS PURIFICADOS MONOVALENTES
J07AH03	MENINGOCOCO, ANTÍGENO DE POLISACÁRIDOS PURIFICADO BIVALENTE
J07AH04	MENINGOCOCO, ANTÍGENO DE POLISACÁRIDOS PURIFICADO TETRAVALENTE
J07AH05	OTROS ANTÍGENOS MENINGOCÓCICOS DE POLISACÁRIDOS PURIFICADOS POLIVALENTES
J07AH06	MENINGOCOCO B
J07AH07	MENINGOCOCCUS C, ANTÍGENOS DE POLISACÁRIDOS PURIFICADOS CONJUGADOS
J07AJ	VACUNAS ANTIPERTUSIS
J07AJ01	PERTUSSIS, CÉLULAS ENTERAS INACTIVADAS
J07AJ02	PERTUSSIS, ANTÍGENO PURIFICADO
J07AJ51	PERTUSIS, CÉLULAS ENTERAS INACTIVADAS COMBINADAS CON TOXOIDE
J07AJ52	PERTUSIS, ANTÍGENO PURIFICADO, COMBINADO CON TOXOIDE
J07AK	VACUNAS CONTRA LA PESTE
J07AK01	PESTE, CÉLULAS ENTERAS INACTIVADAS
J07AL	VACUNAS ANTINEUMOCOCO
J07AL01	NEUMOCOCO, ANTÍGENO DE POLISACÁRIDOS PURIFICADO
J07AL02	NEUMOCOCO, ANTÍGENO CONJUGADO DE POLISACÁRIDOS PURIFICADO
J07AL52	ANTÍGENO DE NEUMOCOCO POLISACÁRIDO PURIFICADO Y HAEMOPHILUS INFLUENZAE
J07AM	VACUNAS ANTITETÁNICAS
J07AM01	TÉTANOS TOXOIDE
J07AM51	TÉTANOS TOXOIDE, COMBINADO CON TOXOIDE DE LA DIFTERIA
J07AM52	TÉTANOS TOXOIDE, COMBINADO CON INMUNOGLOBULINA ANTITETÁNICA
J07AN	VACUNA ANTITUBERCULOSA
J07AN01	TUBERCULOSIS, VIVOS ATENUADOS
J07AP	VACUNAS ANTITIFOIDEAS
J07AP01	TIFUS, ORAL, VIVOS ATENUADOS
J07AP02	TIFUS, CÉLULAS ENTERAS INACTIVADAS
J07AP03	TIFUS, ANTÍGENO PURIFICADO DE POLISACÁRIDOS
J07AP10	TIFUS, COMBINACIÓN CON TIPOS DE PARATIFUS
J07AR	VACUNAS CONTRA EL TIFUS EXANTEMÁTICO
J07AR01	TIFUS EXANTEMÁTICO, CÉLULAS ENTERAS INACTIVADAS
J07AX	OTRAS VACUNAS ANTIBACTERIANAS
J07B	VACUNAS ANTIVIRALES
J07BA	VACUNAS CONTRA LAS ENCEFALITIS
J07BA01	ENCEFALITIS, VIRUS ENTEROS INACTIVADOS
J07BA02	ENCEFALITIS (JAPONESA), VIRUS ENTEROS INACTIVADOS
J07BB	VACUNAS CONTRA LA GRIPE
J07BB01	GRIPE, VIRUS ENTEROS INACTIVADOS
J07BB02	GRIPE, ANTÍGENO PURIFICADO
J07BC	VACUNAS CONTRA LA HEPATITIS
J07BC01	HEPATITIS B, ANTÍGENO PURIFICADO
J07BC02	HEPATITIS A, VIRUS ENTEROS INACTIVADOS
J07BC20	COMBINACIONES
J07BD	VACUNAS CONTRA EL SARAMPIÓN
J07BD01	SARAMPIÓN, VIRUS VIVOS ATENUADOS
J07BD51	SARAMPIÓN, VIRUS VIVOS ATENUADOS COMBINADOS PAPERAS
J07BD52	SARAMPIÓN, VIRUS VIVOS ATENUADOS COMBINADOS PAPERAS Y RUBÉOLA
J07BD53	SARAMPIÓN, VIRUS VIVOS ATENUADOS COMBINADOS CON RUBÉOLA
J07BD54	SARAMPIÓN, VIVOS ATENUADOS COMBINADOS PAPERAS, RUBÉOLA Y VARICELA
J07BE	VACUNAS CONTRA LA PAROTIDITIS
J07BE01	PAROTIDITIS, VIRUS VIVOS ATENUADOS
J07BF	VACUNAS CONTRA LA POLIOMIELITIS
J07BF01	POLIOMIELITIS ORAL, MONOVALENTE, VIRUS VIVOS ATENUADOS
J07BF02	POLIOMIELITIS ORAL, TRIVALENTE, VIRUS VIVOS ATENUADOS
J07BF03	POLIOMIELITIS, TRIVALENTE, VIRUS ENTEROS INACTIVADOS
J07BG	VACUNAS CONTRA LA RABIA
J07BG01	RABIA, VIRUS ENTEROS INACTIVADOS
J07BH	VACUNAS CONTRA LA DIARREA POR ROTAVIRUS
J07BH01	ROTAVIRUS, VIVOS ATENUADOS
J07BH02	ROTAVIRUS, PENTAVALENTE, VIVOS, REABSORBIDOS
J07BJ	VACUNAS CONTRA LA RUBÉOLA
J07BJ01	RUBÉOLA, VIVOS ATENUADOS
J07BJ51	RUBÉOLA, VIVOS ATENUADOS, COMBINADOS CON PAPERAS
J07BK	VACUNAS CONTRA LA VARICELA/ZOSTER
J07BK01	VARICELLA, VIVOS ATENUADOS
J07BK02	ZOSTER, VIVOS ATENUADOS
J07BL	VACUNAS CONTRA LA FIEBRE AMARILLA
J07BL01	FIEBRE AMARILLA, VIVOS ATENUADOS
J07BM	VACUNAS CONTRA LOS PAPILOMAVIRUS
J07BM01	PAPILOMAVIRUS HUMANOS TIPOS 6, 11, 16, 18
J07BM02	PAPILOMAVIRUS HUMANOS TIPOS 16, 18
J07BX	OTRAS VACUNAS VIRALES
J07C	VACUNAS ANTIBACTERIANAS Y ANTIVIRALES COMBINADAS
J07CA	VACUNAS ANTIBACTERIANAS Y ANTIVIRALES COMBINADAS
J07CA01	DIFTERIA-POLIOMIELITIS-TÉTANOS
J07CA02	DIFTERIA-PERTUSIS-POLIOMIELITIS-TÉTANOS
J07CA03	DIFTERIA-RUBÉOLA-TÉTANOS
J07CA04	HEMOPHILUS INFLUENZAE B Y POLIOMIELITIS
J07CA05	DIFTERIA-HEPATITIS B-PERTUSIS-TÉTANOS
J07CA06	DIFTERIA-HEMOPHILUS INFLUENZAE B-PERTUSIS-POLIOMIELITIS-TÉTANOS
J07CA07	DIFTERIA-HEPATITIS B-TÉTANOS
J07CA08	HEMOPHILUS INFLUENZAE B Y HEPATITIS B
J07CA09	DIFTERIA-HEMOPHILUS INFLUENZAE B-PERTUSIS-POLIOMIELITIS-TÉTANOS-HEPATITIS B
J07CA10	TIFUS-HEPATITIS A
J07CA11	DIFTERIA-HEMOPHILUS INFLUENZAE B-PERTUSIS-TÉTANOS-HEPATITIS B
J07CA12	DIFTERIA-PERTUSIS-POLIOMIELITIS-TÉTANOS-HEPATITIS B
J07CA13	DIFTERIA-HEMOPHILUS INFLUENZAE B-PERTUSIS-TÉTANOS-HEPATITIS B-MENINGOCOCOS A + C
J07X	OTRAS VACUNAS
L	ANTINEOPLÁSICOS E INMUNOMODULADORES
L01	ANTINEOPLÁSICOS
L01A	AGENTES ALQUILANTES
L01AA	ANÁLOGOS DE LA MOSTAZA NITROGENADA
L01AA01	CICLOFOSFAMIDA
L01AA02	CLORAMBUCIL
L01AA03	MELFALÁN
L01AA05	CLORMETINA
L01AA06	IODOFOSFAMIDA
L01AA07	TROFOSFAMIDA
L01AA08	PREDNIMUSTINA
L01AB	ALQUILSULFONATOS
L01AB01	BUSULFÁN
L01AB02	TREOSULFÁN
L01AB03	MANOSULFÁN
L01AC	ETILENIMINAS
L01AC01	TIOTEPA
L01AC02	TRIAZICONA
L01AC03	CARBOCONA
L01AD	NITROSOUREAS
L01AD01	CARMUSTINA
L01AD02	LOMUSTINA
L01AD03	SEMUSTINA
L01AD04	ESTREPTOZOCIA
L01AD05	FOTEMUSTINA
L01AD06	NIMUSTINA
L01AD07	RANIMUSTINA
L01AG	EPÓXIDOS5
L01AG01	ETOGLUCIDA
L01AX	OTROS AGENTES ALQUILANTES
L01AX01	MITOBRONITOL
L01AX02	PIPOBROMAN
L01AX03	TEMOZOLOMIDA
L01AX04	DACARBAZINA
L01B	ANTIMETABOLITOS
L01BA	ANÁLOGOS DEL ÁCIDO FÓLICO
L01BA01	METOTREXATO
L01BA03	RALTITREXED
L01BA04	PEMETREXED
L01BB	ANÁLOGOS DE LAS PURINAS
L01BB02	MERCAPTOPURINA
L01BB03	TIOGUANINA
L01BB04	CLADRIBINA
L01BB05	FLUDARABINA
L01BB06	CLOFARABINA
L01BB07	NELARABINA
L01BC	ANÁLOGOS DE LAS PIRIMIDINAS
L01BC01	CITARABINA
L01BC02	FLUORACILO
L01BC03	TEGAFUR
L01BC04	CARMOFUR
L01BC05	GEMCITABINA
L01BC06	CAPECITABINA
L01BC07	AZACITIDINA
L01BC52	FLUORACILO, COMBINACIONES
L01BC53	TEGAFUR, COMBINACIONES
L01C	ALCALOIDES DE PLANTAS Y OTROS PRODUCTOS NATURALES
L01CA	ALCALOIDES DE LA VINCA Y ANÁLOGOS
L01CA01	VINBLASTINA
L01CA02	VINCRISTINA
L01CA03	VINDESINA
L01CA04	VINORELBINA
