"";"Électromyographie par électrode de surface, sans enregistrement vidéo";"Non pris en charge"
"";"Parage et fermeture de plaie pénétrante vertébrospinale, par abord postérieur";"334,80"
"";"anesthésie";"211,41"
"";"Parage et fermeture de plaie pénétrante vertébrospinale, par abord antérieur ou antérolatéral";"408,01"
"";"anesthésie";"238,53"
"";"Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale, par abord postérieur";"428,99"
"";"anesthésie";"283,95"
"";"Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale, par abord antérieur ou antérolatéral";"494,67"
"";"anesthésie";"306,31"
"";"Fermeture d'un spina bifida avec méningocèle, par abord postérieur";"313,50"
"";"anesthésie";"188,10"
"";"Fermeture d'un spina bifida avec myéloméningocèle, par abord postérieur";"359,48"
"";"anesthésie";"215,46"
"";"Libération d'une diastématomyélie, par abord postérieur";"458,58"
"";"anesthésie";"226,90"
"";"Exérèse d'une fistule dermique avec prolongement intradural rachidien";"209,75"
"";"anesthésie";"141,88"
"";"Évacuation d'hématome intraspinal [hématomyélie]";"394,44"
"";"anesthésie";"183,53"
"";"Pose d'un cathéter péridural [épidural], avec pose d'un système diffuseur ou d'une pompe implantable souscutané";"163,57"
"";"Pose d'un cathéter intrathécal ou intrakystique spinal, avec pose d'un système diffuseur ou d'une pompe implantable souscutané";"172,75"
"";"Ablation d'un système diffuseur ou d'une pompe implanté souscutané et du cathéter péridural [épidural] ou intrathécal spinal";"55,39"
"";"Changement d'un cathéter péridural [épidural] relié à un système diffuseur ou à une pompe implanté souscutané";"104,50"
"";"Changement d'un cathéter intrathécal spinal relié à un système diffuseur ou une pompe implanté souscutané";"125,40"
"";"Changement d'un système diffuseur ou d'une pompe implanté souscutané sans changement du cathéter péridural [épidural] ou intrathécal spinal";"74,44"
"";"Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, sans guidage";"44,90"
"";"Injection péridurale [épidurale] de sang autologue [Blood patch]";"35,78"
"";"Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, par voie transcutanée avec guidage radiologique";"28,80"
"";"Injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée sans guidage";"26,98"
"";"Injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée avec guidage radiologique";"28,80"
"";"Séance d'injection intrathécale d'agent pharmacologique anticancéreux, par voie transcutanée";""
"";"Séance d'administration intrathécale d'agent pharmacologique anticancéreux, par un dispositif implanté";""
"";"Administration péridurale [épidurale] d'agent pharmacologique au long cours";"97,06"
"";"Administration intrathécale ou intrakystique spinale d'agent pharmacologique au long cours";"97,06"
"";"Remplissage secondaire ou reprogrammation d'une pompe souscutanée à infusion continue du système nerveux central";"24,56"
"";"Évacuation de liquide cérébrospinal, par voie transcutanée lombale";"37,02"
"";"Évacuation d'hématome péridural [épidural] rachidien, par abord direct";"313,84"
"";"anesthésie";"149,44"
"";"Évacuation d'hématome péridural [épidural] rachidien postopératoire, par abord direct";"313,50"
"";"anesthésie";"141,01"
"";"Évacuation d'hématome intradural rachidien, par abord direct";"341,39"
"";"anesthésie";"174,73"
"";"Mise à plat de lésion infectieuse péridurale rachidienne et/ou paravertébrale postopératoire [sepsis], par abord direct";"250,80"
"";"anesthésie";"134,43"
"";"Dérivation externe du liquide cérébrospinal subarachnoïdien rachidien";"102,97"
"";"Dérivation lombopéritonéale du liquide cérébrospinal subarachnoïdien rachidien, par abord direct";"179,45"
"";"anesthésie";"89,44"
"";"Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale dans l'espace subarachnoïdien rachidien, par abord direct";"404,72"
"";"anesthésie";"177,30"
"";"Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale en dehors de l'espace subarachnoïdien rachidien, par abord direct";"435,15"
"";"anesthésie";"186,83"
"";"Ablation d'une dérivation interne intraspinale du liquide cérébrospinal rachidien, par abord direct";"90,75"
"";"anesthésie";"67,08"
"";"Parage d'une épidurite et/ou d'une spondylodiscite sans reconstruction vertébrale, par abord direct";"307,25"
"";"anesthésie";"159,36"
"";"Parage d'une épidurite et/ou d'une spondylodiscite avec reconstruction vertébrale par greffe et/ou ostéosynthèse, par abord direct";"431,45"
"";"anesthésie";"205,51"
"";"Exérèse de kyste méningé intracanalaire vertébral, par abord postérieur";"376,20"
"";"anesthésie";"172,86"
"";"Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire spinale";"255,44"
"";"anesthésie";"131,13"
"";"Exérèse de tumeur intradurale extraspinale, par abord postérieur ou postérolatéral";"526,46"
"";"anesthésie";"207,32"
"";"Exérèse de tumeur intradurale extraspinale sans reconstruction vertébrale, par abord antérieur ou antérolatéral";"567,16"
"";"anesthésie";"230,77"
"";"Exérèse de tumeur intradurale extraspinale avec reconstruction vertébrale, par abord antérieur ou antérolatéral";"691,80"
"";"anesthésie";"267,37"
"";"Exérèse de tumeur épidurale rachidienne, par abord postérieur";"373,88"
"";"anesthésie";"210,98"
"";"Exérèse de tumeur épidurale rachidienne avec ostéosynthèse vertébrale, par abord postérieur";"489,88"
"";"anesthésie";"238,05"
"";"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord postérieur ou postérolatéral";"601,06"
"";"anesthésie";"229,90"
"";"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord antérieur ou antérolatéral";"650,00"
"";"anesthésie";"229,90"
"";"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale avec reconstruction vertébrale, par abord postérieur ou postérolatéral";"721,59"
"";"anesthésie";"292,60"
"";"Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale avec reconstruction vertébrale, par abord antérieur ou antérolatéral";"724,84"
"";"anesthésie";"235,49"
"";"Contrôle et/ou réglage secondaire transcutané d'une valve de dérivation de liquide cérébrospinal à pression d'ouverture réglable";""
"";"Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par abord direct";"183,15"
"";"anesthésie";"79,54"
"";"Ablation d'une dérivation interne du liquide cérébrospinal intracrânien, par abord direct";"70,61"
"";"anesthésie";"64,15"
"";"Implantation d’électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique";"794,64"
"";"anesthésie";"272,87"
"";"Implantation d’électrode de stimulation corticale cérébrale à visée thérapeutique, par craniotomie";"Non pris en charge"
"";"anesthésie";""
"";"Implantation d’électrode de stimulation de la moelle épinière à visée thérapeutique, par voie transcutanée";"132,99"
"";"Implantation d’électrode de stimulation de la moelle épinière à visée thérapeutique par voie transcutanée, avec implantation souscutanée d'un générateur de stimulation neurologique";"167,20"
"";"anesthésie";"104,50"
"";"Implantation d’électrode de stimulation de la moelle épinière à visée thérapeutique, par abord direct";"259,13"
"";"anesthésie";"149,09"
"";"Ablation d’électrode intracérébrale, par voie transcutanée";"93,63"
"";"Ablation d’électrode corticale cérébrale, par craniotomie";"Non pris en charge"
"";"anesthésie";""
"";"Ablation d’électrode de stimulation de la moelle épinière, par voie transcutanée";"54,16"
"";"Ablation d’électrode de stimulation de la moelle épinière, par abord direct";"123,65"
"";"anesthésie";"112,90"
"";"Implantation souscutanée d'un générateur de stimulation cérébrale";"104,50"
"";"Implantation souscutanée d'un générateur de stimulation de la moelle épinière";"104,50"
"";"anesthésie";"48,00"
"";"Réglage secondaire ou reprogrammation transcutané d'un générateur souscutané de stimulation du système nerveux central";""
"";"Ablation d'un générateur souscutané de stimulation du système nerveux central";"46,34"
"";"Changement d'un générateur souscutané de stimulation cérébrale";"104,50"
"";"Changement d'un générateur souscutané de stimulation de la moelle épinière";"104,50"
"";"anesthésie";"104,50"
"";"Décompression du nerf optique, par abord orbitaire";"227,59"
"";"anesthésie";"86,43"
"";"Décompression du nerf optique, par craniotomie";"522,50"
"";"anesthésie";"271,70"
"";"Décompression du nerf optique, par abord transsinusien [transethmoïdal]";"447,42"
"";"anesthésie";"229,90"
"";"Infiltration thérapeutique de branche terminale du nerf trijumeau";"24,59"
"";"Destruction sélective de branche terminale du nerf trijumeau, par voie transcutanée ou transmuqueuse sans guidage";"23,77"
"";"Destruction sélective de branche terminale du nerf trijumeau, par voie transcutanée avec guidage radiologique";"209,00"
"";"Décompression du nerf infraorbitaire, par abord direct";"109,69"
"";"anesthésie";"61,22"
"";"Décompression du nerf alvéolaire inférieur [dentaire inférieur], par abord intrabuccal";"121,62"
"";"anesthésie";"65,98"
"";"Déroutement du nerf alvéolaire inférieur [dentaire inférieur], par abord intrabuccal";"104,50"
"";"anesthésie";"58,28"
"";"Section d'une branche extracrânienne du nerf trijumeau, par abord direct";"83,60"
"";"anesthésie";"56,08"
"";"Suture de plaie du nerf facial extrapétreux";"264,65"
"";"anesthésie";"115,08"
"";"Autogreffe du nerf facial, par abord transmastoïdien";"481,23"
"";"anesthésie";"172,15"
"";"Autogreffe du nerf facial, par abord suprapétreux et/ou par abord rétrosigmoïdien";"654,51"
"";"anesthésie";"175,44"
"";"Autogreffe du nerf facial avec déroutement, par abord translabyrinthique";"692,92"
"";"anesthésie";"176,17"
"";"Autogreffe du nerf facial extrapétreux";"349,93"
"";"anesthésie";"155,89"
"";"Décompression du nerf facial, par abord transmastoïdien";"356,18"
"";"anesthésie";"155,89"
"";"Décompression du nerf facial, par abord suprapétreux";"623,95"
"";"anesthésie";"229,90"
"";"Décompression du nerf facial, par abord transmastoïdien et par abord suprapétreux";"702,55"
"";"anesthésie";"229,90"
"";"Déroutement et suture du nerf facial, par abord transmastoïdien";"440,58"
"";"anesthésie";"176,17"
"";"Déroutement et suture du nerf facial, par abord suprapétreux";"672,66"
"";"anesthésie";"207,28"
"";"Déroutement et suture du nerf facial, par abord translabyrinthique";"707,49"
"";"anesthésie";"207,28"
"";"Section du nerf du canal ptérygoïdien [Neurotomie vidienne]";"121,76"
"";"anesthésie";"59,74"
"";"Section des nerfs pétreux, par abord suprapétreux";"347,73"
"";"anesthésie";"108,87"
"";"Exérèse de lésion du nerf facial intrapétreux avec réparation immédiate";"746,79"
"";"anesthésie";"207,28"
"";"Exérèse de lésion du nerf facial extrapétreux sans réparation immédiate";"257,66"
"";"anesthésie";"107,02"
"";"Exérèse de lésion du nerf facial extrapétreux avec réparation immédiate";"443,27"
"";"anesthésie";"155,89"
"";"Neurotomie vestibulaire, par abord suprapétreux";"614,60"
"";"anesthésie";"283,05"
"";"Neurotomie vestibulaire, par abord translabyrinthique";"634,69"
"";"anesthésie";"292,43"
"";"Neurotomie vestibulaire, par abord rétrolabyrinthique";"684,71"
"";"anesthésie";"298,07"
"";"Section du nerf tympanique [de Jacobson] dans le cavum tympanique";"92,72"
"";"anesthésie";"61,58"
"";"Section du nerf ampullaire postérieur";"202,59"
"";"anesthésie";"69,65"
"";"Vagotomie tronculaire, par thoracoscopie";"313,50"
"";"anesthésie";"206,57"
"";"Vagotomie tronculaire, par thoracotomie";"313,50"
"";"anesthésie";"226,73"
"";"Vagotomie tronculaire, par cœlioscopie";"403,28"
"";"anesthésie";"252,18"
"";"Vagotomie tronculaire, par laparotomie";"374,48"
"";"anesthésie";"228,18"
"";"Vagotomie tronculaire avec gastrojéjunostomie, par laparotomie";"374,48"
"";"anesthésie";"228,18"
"";"Vagotomie tronculaire avec antrectomie gastrique, par laparotomie";"403,20"
"";"anesthésie";"228,18"
"";"Vagotomie tronculaire postérieure avec séromyotomie œsogastrique antérieure, par cœlioscopie";"404,18"
"";"anesthésie";"252,18"
"";"Vagotomie tronculaire postérieure avec séromyotomie œsogastrique antérieure, par laparotomie";"374,48"
"";"anesthésie";"228,18"
"";"Vagotomie suprasélective, par cœlioscopie";"429,27"
"";"anesthésie";"269,77"
"";"Vagotomie suprasélective, par laparotomie";"385,50"
"";"anesthésie";"228,18"
"";"Implantation d'un stimulateur du nerf vague, par abord direct";"226,88"
"";"anesthésie";"128,93"
"";"Changement d'un générateur de stimulation du nerf vague, par abord direct";"63,81"
"";"Ablation d'un générateur de stimulation du nerf vague, par abord direct";"56,72"
"";"Destruction sélective du nerf glossopharyngien, par voie transcutanée avec guidage radiologique";"209,00"
"";"Suture de plaie d'un nerf crânien, par craniotomie";"497,70"
"";"anesthésie";"263,56"
"";"Libération d'un conflit vasculonerveux intracrânien, par craniotomie";"521,40"
"";"anesthésie";"231,81"
"";"Autogreffe de nerf crânien, par craniotomie";"573,36"
"";"anesthésie";"275,11"
"";"Section de nerf crânien, par vidéochirurgie intracrânienne";"Non pris en charge"
"";"anesthésie";""
"";"Section de nerf crânien, par abord infraoccipital rétrosigmoïdien";"436,37"
