"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"A06AB52"	"BISACODYL, COMBINATIONS"	"BISACODYL, ASSOCIATIONS"
"A06AB53"	"DANTRON, COMBINATIONS"	"DANTRON EN ASSOCIATION"
"A06AB56"	"SENNA GLYCOSIDES, COMBINATIONS"	"GLYCOSIDES DE SENE EN ASSOCIATION"
"A06AB57"	"CASCARA, COMBINATIONS"	"CASCARA EN ASSOCIATION"
"A06AB58"	"SODIUM PICOSULFATE, COMBINATIONS"	"SODIUM PICOSULFATE EN ASSOCIATION"
"A06AC"	"BULK PRODUCERS"	"LAXATIFS DE LEST"
"A06AC01"	"ISPAGHULA (PSYLLA SEEDS)"	"ISPAGHUL (GRAINES DE PSYLLIUM)"
"A06AC02"	"ETHULOSE"	"ETHULOSE"
"A06AC03"	"STERCULIA"	"STERCULIA"
"A06AC05"	"LINSEED"	"LIN GRAINE"
"A06AC06"	"METHYLCELLULOSE"	"METHYLCELLULOSE"
"A06AC07"	"TRITICUM (WHEAT FIBRE)"	"TRITICUM (FIBRES DE BLE)"
"A06AC08"	"POLYCARBOPHIL CALCIUM"	"POLYCARBOPHIL CALCIUM"
"A06AC51"	"ISPAGHULA, COMBINATIONS"	"ISPAGHUL EN ASSOCIATION"
"A06AC53"	"STERCULIA, COMBINATIONS"	"STERCULIA EN ASSOCIATION"
"A06AC55"	"LINSEED, COMBINATIONS"	"LIN GRAINE EN ASSOCIATION"
"A06AD"	"OSMOTICALLY ACTING LAXATIVES"	"LAXATIFS OSMOTIQUES"
"A06AD01"	"MAGNESIUM CARBONATE"	"MAGNESIUM CARBONATE"
"A06AD02"	"MAGNESIUM OXIDE"	"MAGNESIUM OXYDE"
"A06AD03"	"MAGNESIUM PEROXIDE"	"MAGNESIUM PEROXYDE"
"A06AD04"	"MAGNESIUM SULFATE"	"MAGNESIUM SULFATE"
"A06AD10"	"MINERAL SALTS IN COMBINATION"	"SELS MINERAUX EN ASSOCIATION"
"A06AD11"	"LACTULOSE"	"LACTULOSE"
"A06AD12"	"LACTITOL"	"LACTITOL"
"A06AD13"	"SODIUM SULFATE"	"SODIUM SULFATE"
"A06AD14"	"PENTAERITHRITYL"	"PENTAERITHRITYL TETRANITRATE"
"A06AD15"	"MACROGOL"	"MACROGOL"
"A06AD16"	"MANNITOL"	"MANNITOL"
"A06AD17"	"SODIUM PHOSPHATE"	"PHOSPHATE DE SODIUM"
"A06AD18"	"SORBITOL"	"SORBITOL"
"A06AD19"	"MAGNESIUM CITRATE"	"CITRATE DE MAGNESIUM"
"A06AD21"	"SODIUM TARTRATE"	"SODIUM TARTRATE"
"A06AD61"	"LACTULOSE, COMBINATIONS"	"LACTULOSE EN ASSOCIATION"
"A06AD65"	"MACROGOL, COMBINATIONS"	"MACROGOL, ASSOCIATIONS"
"A06AG"	"ENEMAS"	"LAVEMENTS"
"A06AG01"	"SODIUM PHOSPHATE"	"SODIUM PHOSPHATE"
"A06AG02"	"BISACODYL"	"BISACODYL"
"A06AG03"	"DANTRON, INCL. COMBINATIONS"	"DANTRON, ASSOCIATIONS INCLUSES"
"A06AG04"	"GLYCEROL"	"GLYCEROL"
"A06AG06"	"OIL"	"HUILE"
"A06AG07"	"SORBITOL"	"SORBITOL"
"A06AG10"	"DOCUSATE SODIUM, INCL. COMBINATIONS"	"DOCUSATE SODIQUE, ASSOCIATIONS INCLUSES"
"A06AG11"	"LAURILSULFATE, INCL. COMBINATIONS"	"LAURYLSULFATE, ASSOCIATIONS INCLUSES"
"A06AG20"	"COMBINATIONS"	"ASSOCIATIONS"
"A06AX"	"OTHER LAXATIVES"	"AUTRES LAXATIFS"
"A06AX01"	"GLYCEROL"	"GLYCEROL"
"A06AX02"	"CARBON DIOXIDE PRODUCING DRUGS"	"MEDICAMENTS PRODUISANT DE L'ANHYDRIDE CARBONIQUE"
"A07"	"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"	"ANTIDIARRHEIQUES, ANTIINFLAMMATOIRES ET ANTI-INFECTIEUX INTESTINAUX"
"A07A"	"INTESTINAL ANTIINFECTIVES"	"ANTIINFECTIEUX INTESTINAUX"
"A07AA"	"ANTIBIOTICS"	"ANTIBIOTIQUES"
"A07AA01"	"NEOMYCIN"	"NEOMYCINE"
"A07AA02"	"NYSTATIN"	"NYSTATINE"
"A07AA03"	"NATAMYCIN"	"NATAMYCINE"
"A07AA04"	"STREPTOMYCIN"	"STREPTOMYCINE"
"A07AA05"	"POLYMYXIN B"	"POLYMYXINE"
"A07AA06"	"PAROMOMYCIN"	"PAROMOMYCINE"
"A07AA07"	"AMPHOTERICIN B"	"AMPHOTERICINE B"
"A07AA08"	"KANAMYCIN"	"KANAMYCINE"
"A07AA09"	"VANCOMYCIN"	"VANCOMYCINE"
"A07AA10"	"COLISTIN"	"COLISTINE"
"A07AA11"	"RIFAXIMIN"	"RIFAXIMINE"
"A07AA51"	"NEOMYCIN, COMBINATIONS"	"NEOMYCINE EN ASSOCIATION"
"A07AA54"	"STREPTOMYCIN, COMBINATIONS"	"STREPTOMYCINE EN ASSOCIATION"
"A07AB"	"SULFONAMIDES"	"SULFAMIDES"
"A07AB02"	"PHTHALYLSULFATHIAZOLE"	"PHTHALYLSULFATHIAZOLE"
"A07AB03"	"SULFAGUANIDINE"	"SULFAGUANIDINE"
"A07AB04"	"SUCCINYLSULFATHIAZOLE"	"SUCCINYLSULFATHIAZOLE"
"A07AC"	"IMIDAZOLE DERIVATIVES"	"DERIVES IMIDAZOLES"
"A07AC01"	"MICONAZOLE"	"MICONAZOLE"
"A07AX"	"OTHER INTESTINAL ANTIINFECTIVES"	"AUTRES ANTIINFECTIEUX INTESTINAUX"
"A07AX01"	"BROXYQUINOLINE"	"BROXYQUINOLINE"
"A07AX02"	"ACETARSOL"	"ACETARSOL"
"A07AX03"	"NIFUROXAZIDE"	"NIFUROXAZIDE"
"A07AX04"	"NIFURZIDE"	"NIFURZIDE"
"A07B"	"INTESTINAL ADSORBENTS"	"ADSORBANTS INTESTINAUX"
"A07BA"	"CHARCOAL PREPARATIONS"	"PREPARATIONS A BASE DE CHARBON"
"A07BA01"	"MEDICINAL CHARCOAL"	"CHARBON MEDICINAL"
"A07BA51"	"MEDICINAL CHARCOAL, COMBINATIONS"	"CHARBON MEDICINAL, ASSOCIATIONS"
"A07BB"	"BISMUTH PREPARATIONS"	"PREPARATIONS A BASE DE BISMUTH"
"A07BC"	"OTHER INTESTINAL ADSORBENTS"	"AUTRES ADSORBANTS INTESTINAUX"
"A07BC01"	"PECTIN"	"PECTINE"
"A07BC02"	"KAOLIN"	"KAOLIN"
"A07BC03"	"CROSPOVIDONE"	"CROSPOVIDONE"
"A07BC04"	"ATTAPULGITE"	"ATTAPULGITE"
"A07BC05"	"DIOSMECTITE"	"DIOSMECTITE"
"A07BC30"	"COMBINATIONS"	"ASSOCIATIONS"
"A07BC54"	"ATTAPULGITE, COMBINATIONS"	"ATTAPULGITE EN ASSOCIATION"
"A07C"	"ELECTROLYTES WITH CARBOHYDRATES"	"ELECTROLYTES ET HYDRATES DE CARBONE"
"A07CA"	"ORAL REHYDRATION SALT FORMULATIONS"	"PREPARATIONS SALINES POUR REHYDRATATION ORALE"
"A07D"	"ANTIPROPULSIVES"	"RALENTISSEURS DE LA MOTRICITE INTESTINALE"
"A07DA"	"ANTIPROPULSIVES"	"RALENTISSEURS DE LA MOTRICITE INTESTINALE"
"A07DA01"	"DIPHENOXYLATE"	"DIPHENOXYLATE"
"A07DA02"	"OPIUM"	"OPIUM"
"A07DA03"	"LOPERAMIDE"	"LOPERAMIDE"
"A07DA04"	"DIFENOXIN"	"DIFENOXINE"
"A07DA05"	"LOPERAMIDE OXIDE"	"LOPERAMIDE OXYDE"
"A07DA52"	"MORPHINE, COMBINATIONS"	"MORPHINE EN ASSOCIATION"
"A07DA53"	"LOPERAMIDE, COMBINATIONS"	"LOPERAMIDE EN ASSOCIATION"
"A07E"	"INTESTINAL ANTIINFLAMMATORY AGENTS"	"ANTIINFLAMMATOIRES INTESTINAUX"
"A07EA"	"CORTICOSTEROIDS ACTING LOCALLY"	"CORTICOIDES A USAGE LOCAL"
"A07EA01"	"PREDNISOLONE"	"PREDNISOLONE"
"A07EA02"	"HYDROCORTISONE"	"HYDROCORTISONE"
"A07EA03"	"PREDNISONE"	"PREDNISONE"
"A07EA04"	"BETAMETHASONE"	"BETAMETHASONE"
"A07EA05"	"TIXOCORTOL"	"TIXOCORTOL"
"A07EA06"	"BUDESONIDE"	"BUDESONIDE"
"A07EA07"	"BECLOMETASONE"	"BECLOMETASONE"
"A07EB"	"ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS"	"ANTIALLERGIQUES, CORTICOIDES EXCLUS"
"A07EB01"	"CROMOGLICIC ACID"	"CROMOGLICIQUE ACIDE"
"A07EC"	"AMINOSALICYLIC ACID AND SIMILAR AGENTS"	"ACIDE AMINOSALICYLIQUE ET ANALOGUES"
"A07EC01"	"SULFASALAZINE"	"SULFASALAZINE"
"A07EC02"	"MESALAZINE"	"MESALAZINE"
"A07EC03"	"OLSALAZINE"	"OLSALAZINE"
"A07EC04"	"BALSALAZIDE"	"BALSALAZIDE"
"A07F"	"ANTIDIARRHEAL MICROORGANISMS"	"MICROORGANISMES ANTIDIARRHEIQUES"
"A07FA"	"ANTIDIARRHEAL MICROORGANISMS"	"MICROORGANISMES ANTIDIARRHEIQUES"
"A07FA01"	"LACTIC ACID PRODUCING ORGANISMS"	"MICROORGANISMES PRODUISANT DE L'ACIDE LACTIQUE"
"A07FA02"	"SACCHAROMYCES BOULARDII"	"SACCHAROMYCES BOULARDII"
"A07FA51"	"LACTIC ACID PRODUCING ORGANISMS, COMBINATIONS"	"MICROORGANISMES PRODUISANT DE L'ACIDE LACTIQUE EN ASSOCIATION"
"A07X"	"OTHER ANTIDIARRHEALS"	"AUTRES ANTIDIARRHEIQUES"
"A07XA"	"OTHER ANTIDIARRHEALS"	"AUTRES ANTIDIARRHEIQUES"
"A07XA01"	"ALBUMIN TANNATE"	"TANIN ALBUMINATE"
"A07XA02"	"CERATONIA"	"CERATONIA"
"A07XA03"	"CALCIUM COMPOUNDS"	"DERIVES CALCIQUES"
"A07XA04"	"ACETORPHAN"	"RACECADOTRIL"
"A07XA51"	"ALBUMIN TANNATE, COMBINATIONS"	"TANNATE D'ALBUMINE, ASSOCIATIONS"
"A08"	"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"	"PREPARATIONS CONTRE L'OBESITE, PRODUITS DE REGIME EXCLUS"
"A08A"	"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"	"PREPARATION CONTRE L'OBESITE, PRODUIT DE REGIME EXCLU"
"A08AA"	"CENTRALLY ACTING ANTIOBESITY PRODUCTS"	"MEDICAMENTS CONTRE L'OBESITE A ACTION CENTRALE"
"A08AA01"	"PHENTERMINE"	"PHENTERMINE"
"A08AA02"	"FENFLURAMINE"	"FENFLURAMINE"
"A08AA03"	"AMFEPRAMONE"	"AMFEPRAMONE"
"A08AA04"	"DEXFENFLURAMINE"	"DEXFENFLURAMINE"
"A08AA05"	"MAZINDOL"	"MAZINDOL"
"A08AA06"	"ETILAMFETAMINE"	"ETILAMFETAMINE"
"A08AA07"	"CATHINE"	"CATHINE"
"A08AA08"	"CLOBENZOREX"	"CLOBENZOREX"
"A08AA09"	"MEFENOREX"	"MEFENOREX"
"A08AA10"	"SIBUTRAMINE"	"SIBUTRAMINE"
"A08AA56"	"EPHEDRINE, COMBINATIONS"	"EPHEDRINE EN ASSOCIATION"
"A08AB"	"PERIPHERALLY ACTING ANTIOBESITY PRODUCTS"	"MEDICAMENTS CONTRE L'OBESITE A ACTION PERIPHERIQUE"
"A08AB01"	"ORLISTAT"	"ORLISTAT"
"A09"	"DIGESTIVES, INCL. ENZYMES"	"MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES"
"A09A"	"DIGESTIVES, INCL. ENZYMES"	"MEDICAMENT DE LA DIGESTION, ENZYME INCLUSE"
"A09AA"	"ENZYME PREPARATIONS"	"PREPARATIONS ENZYMATIQUES"
"A09AA01"	"DIASTASE"	"DIASTASE"
"A09AA02"	"MULTIENZYMES (LIPASE, PROTEASE ETC.)"	"MULTIENZYMES (LIPASE, PROTEASE...)"
"A09AA03"	"PEPSIN"	"PEPSINE"
"A09AA04"	"TILACTASE"	"TILACTASE"
"A09AB"	"ACID PREPARATIONS"	"PREPARATIONS ACIDES"
"A09AB01"	"GLUTAMIC ACID HYDROCHLORIDE"	"GLUTAMIQUE ACIDE CHLORHYDRATE"
"A09AB02"	"BETAINE HYDROCHLORIDE"	"CHLORHYDRATE DE BETAÏNE"
"A09AB03"	"HYDROCHLORIC ACID"	"CHLORHYDRIQUE ACIDE"
"A09AB04"	"CITRIC ACID"	"CITRIQUE ACIDE"
"A09AC"	"ENZYME AND ACID PREPARATIONS, COMBINATIONS"	"ENZYMES ET PREPARATIONS ACIDES EN ASSOCIATION"
"A09AC01"	"PEPSIN AND ACID PREPARATIONS"	"PEPSINE ET PREPARATIONS ACIDES"
"A09AC02"	"ENZYMES ET PREPARATIONS ACIDES"	"ENZYMES ET PREPARATIONS ACIDES"
"A10"	"DRUGS USED IN DIABETES"	"MEDICAMENTS DU DIABETE"
"A10A"	"INSULINS AND ANALOGUES"	"INSULINES ET ANALOGUES"
"A10AB"	"INSULINS AND ANALOGUES, FAST-ACTING"	"INSULINES ET ANALOGUES D'ACTION RAPIDE"
"A10AB01"	"INSULIN (HUMAN)"	"INSULINE HUMAINE"
"A10AB02"	"INSULIN (BEEF)"	"INSULINE BOVINE"
"A10AB03"	"INSULIN (PORK)"	"INSULINE PORCINE"
"A10AB04"	"INSULIN LISPRO"	"INSULINE LISPRO"
"A10AB05"	"INSULIN ASPART"	"INSULINE ASPARTE"
"A10AB06"	"INSULIN GLULISINE"	"INSULINE GLULISINE"
"A10AB30"	"COMBINATIONS"	"ASSOCIATIONS"
"A10AC"	"INSULINS AND ANALOGUES, INTERMEDIATE-ACTING"	"INSULINES ET ANALOGUES D'ACTION INTERMEDIAIRE"
"A10AC01"	"INSULIN (HUMAN)"	"INSULINE HUMAINE"
"A10AC02"	"INSULIN (BEEF)"	"INSULINE BOVINE"
"A10AC03"	"INSULIN (PORK)"	"INSULINE PORCINE"
"A10AC04"	"INSULIN LISPRO"	"INSULINE LISPRO"
"A10AC30"	"COMBINATIONS"	"ASSOCIATIONS"
"A10AD"	"INSULINS AND ANALOGUES, INTERMEDIATE-ACTING COMBINED WITH FAST-ACTING"	"INSULINES ET ANALOGUES D'ACTION INTERMEDIAIRE ET A DEBUT D'ACTION RAPIDE"
"A10AD01"	"INSULIN (HUMAN)"	"INSULINE HUMAINE"
"A10AD02"	"INSULIN (BEEF)"	"INSULINE BOVINE"
"A10AD03"	"INSULIN (PORK)"	"INSULINE PORCINE"
"A10AD04"	"INSULIN LISPRO"	"INSULINE LISPRO"
"A10AD05"	"INSULINE ASPART"	"INSULINE ASPARTE"
"A10AD30"	"COMBINATIONS"	"ASSOCIATIONS"
"A10AE"	"INSULINS AND ANALOGUES, LONG-ACTING"	"INSULINES ET ANALOGUES D'ACTION LENTE"
"A10AE01"	"INSULIN (HUMAN)"	"INSULINE HUMAINE"
"A10AE02"	"INSULIN (BEEF)"	"INSULINE BOVINE"
"A10AE03"	"INSULIN (PORK)"	"INSULINE PORCINE"
"A10AE04"	"INSULINE GLARGINE"	"INSULINE GLARGINE"
"A10AE30"	"COMBINATIONS"	"ASSOCIATIONS"
"A10B"	"ORAL BLOOD GLUCOSE LOWERING DRUGS"	"ANTIDIABETIQUES ORAUX"
"A10BA"	"BIGUANIDES"	"BIGUANIDES"
"A10BA01"	"PHENFORMIN"	"PHENFORMINE"
"A10BA02"	"METFORMIN"	"METFORMINE"
"A10BA03"	"BUFORMIN"	"BUFORMINE"
"A10BB"	"SULFONAMIDES, UREA DERIVATIVES"	"SULFAMIDES, DERIVES DE L'UREE"
"A10BB01"	"GLIBENCLAMIDE"	"GLIBENCLAMIDE"
"A10BB02"	"CHLORPROPAMIDE"	"CHLORPROPAMIDE"
"A10BB03"	"TOLBUTAMIDE"	"TOLBUTAMIDE"
"A10BB04"	"GLIBORNURIDE"	"GLIBORNURIDE"
"A10BB05"	"TOLAZAMIDE"	"TOLAZAMIDE"
"A10BB06"	"CARBUTAMIDE"	"CARBUTAMIDE"
"A10BB07"	"GLIPIZIDE"	"GLIPIZIDE"
"A10BB08"	"GLIQUIDONE"	"GLIQUIDONE"
"A10BB09"	"GLICLAZIDE"	"GLICLAZIDE"
"A10BB10"	"METAHEXAMIDE"	"METAHEXAMIDE"
"A10BB11"	"GLISOXEPIDE"	"GLISOXEPIDE"
"A10BB12"	"GLIMEPIRIDE"	"GLIMEPIRIDE"
"A10BB31"	"ACETOHEXAMIDE"	"ACETOHEXAMIDE"
"A10BC"	"SULFONAMIDES (HETEROCYCLIC)"	"SULFAMIDES (HETEROCYCLES)"
"A10BC01"	"GLYMIDINE"	"GLYMIDINE"
"A10BD"	"COMBINATIONS OF ORAL BLOOD GLUCOSE LOWERING DRUGS"	"ASSOCIATIONS D'HYPOGLYCEMIANTS ORAUX"
"A10BD01"	"PHENFORMIN AND SULFONAMIDES"	"PHENFORMINE ET SULFAMIDES"
"A10BD02"	"METFORMIN AND SULFONAMIDES"	"METFORMINE ET SULFAMIDES"
"A10BD03"	"METFORMIN AND ROSIGLITAZONE"	"METFORMINE ET ROSIGLITAZONE"
"A10BF"	"ALPHA GLUCOSIDASE INHIBITORS"	"INHIBITEURS DE L'ALPHA GLUCOSIDASE"
"A10BF01"	"ACARBOSE"	"ACARBOSE"
"A10BF02"	"MIGLITOL"	"MIGLITOL"
"A10BF03"	"VOGLIBOSE"	"VOGLIBOSE"
"A10BG"	"THIAZOLIDINEDIONES"	"THIAZOLINEDIONES"
"A10BG01"	"TROGLITAZONE"	"TROGLITAZONE"
"A10BG02"	"ROSIGLITAZONE"	"ROSIGLITAZONE"
"A10BG03"	"PIOGLITAZONE"	"PIOGLITAZONE"
"A10BX"	"OTHER ORAL BLOOD GLUCOSE LOWERING DRUGS"	"AUTRES ANTIDIABETIQUES ORAUX"
"A10BX01"	"GUAR GUM"	"GUAR GOMME"
"A10BX02"	"REPAGLINIDE"	"REPAGLINIDE"
"A10BX03"	"NATEGLINIDE"	"NATEGLINIDE"
"A10X"	"OTHER DRUGS USED IN DIABETES"	"AUTRES MEDICAMENTS DU DIABETE"
"A10XA"	"ALDOSE REDUCTASE INHIBITORS"	"INHIBITEURS DE L'ALDOSE REDUCTASE"
"A10XA01"	"TOLRESTAT"	"TOLRESTAT"
"A11"	"VITAMINS"	"VITAMINES"
"A11A"	"MULTIVITAMINS, COMBINATIONS"	"POLYVITAMINES EN ASSOCIATION"
"A11AA"	"MULTIVITAMINS WITH MINERALS"	"POLYVITAMINES AVEC ELEMENTS MINERAUX"
"A11AA01"	"MULTIVITAMINS AND IRON"	"POLYVITAMINES ET FER"
"A11AA02"	"MULTIVITAMINS AND CALCIUM"	"POLYVITAMINES ET CALCIUM"
"A11AA03"	"MULTIVITAMINS AND OTHER MINERALS, INCL. COMBINATIONS"	"POLYVITAMINES ET AUTRES ELEMENTS MINERAUX, ASSOCIATIONS INCLUSES"
"A11AA04"	"MULTIVITAMINS AND TRACE ELEMENTS"	"POLYVITAMINES ET OLIGO-ELEMENTS"
"A11AB"	"MULTIVITAMINS, OTHER COMBINATIONS"	"POLYVITAMINES, AUTRES ASSOCIATIONS"
"A11B"	"MULTIVITAMINS, PLAIN"	"POLYVITAMINES NON ASSOCIEES"
"A11BA"	"MULTIVITAMINS, PLAIN"	"POLYVITAMINE NON ASSOCIEE"
"A11C"	"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"	"VITAMINES A ET D, ASSOCIATIONS DES DEUX INCLUSES"
"A11CA"	"VITAMIN A, PLAIN"	"VITAMINE A NON ASSOCIEE"
"A11CA01"	"RETINOL (VIT A)"	"RETINOL (VIT A)"
"A11CA02"	"BETACAROTENE"	"BETACAROTENE"
"A11CB"	"VITAMIN A AND D IN COMBINATION"	"VITAMINES A ET D EN ASSOCIATION"
"A11CC"	"VITAMIN D AND ANALOGUES"	"VITAMINE D ET ANALOGUES"
"A11CC01"	"ERGOCALCIFEROL"	"ERGOCALCIFEROL"
"A11CC02"	"DIHYDROTACHYSTEROL"	"DIHYDROTACHYSTEROL"
"A11CC03"	"ALFACALCIDOL"	"ALFACALCIDOL"
"A11CC04"	"CALCITRIOL"	"CALCITRIOL"
"A11CC05"	"COLECALCIFEROL"	"CHOLECALCIFEROL"
"A11CC06"	"CALCIFEDIOL"	"CALCIFEDIOL"
"A11CC20"	"COMBINATIONS"	"ASSOCIATIONS"
"A11D"	"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12"	"VITAMINE B1 NON ASSOCIEE ET EN ASSOCIATION AVEC VITAMINES B6 ET B12"
"A11DA"	"VITAMIN B1, PLAIN"	"VITAMINE B1, NON ASSOCIEE"
"A11DA01"	"THIAMINE (VIT B1)"	"THIAMINE (VIT B1)"
"A11DA02"	"SULBUTIAMINE"	"SULBUTIAMINE"
"A11DB"	"VITAMIN B1 IN COMBINATION WITH VITAMIN B6 AND/OR VITAMIN B12"	"VITAMINE B1 ASSOCIEE A LA VITAMINE B6 ET/OU VITAMINE B12"
"A11E"	"VITAMIN B-COMPLEX, INCL. COMBINATIONS"	"COMPLEXE VITAMINIQUE B, ASSOCIATIONS INCLUSES"
"A11EA"	"VITAMIN B-COMPLEX, PLAIN"	"COMPLEXE VITAMINIQUE B NON ASSOCIE"
"A11EB"	"VITAMIN B-COMPLEX WITH VITAMIN C"	"COMPLEXE VITAMINIQUE B AVEC VITAMINE C"
"A11EC"	"VITAMIN B-COMPLEX WITH MINERALS"	"COMPLEXE VITAMINIQUE B AVEC MINERAUX"
"A11ED"	"VITAMIN B-COMPLEX WITH ANABOLIC STEROIDS"	"COMPLEXE VITAMINIQUE B AVEC STEROIDES ANABOLISANTS"
"A11EX"	"VITAMIN B-COMPLEX, OTHER COMBINATIONS"	"COMPLEXE VITAMINIQUE B, AUTRES ASSOCIATIONS"
"A11G"	"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"	"ACIDE ASCORBIQUE (VIT C), ASSOCIATIONS INCLUSES"
"A11GA"	"ASCORBIC ACID (VITAMIN C), PLAIN"	"ACIDE ASCORBIQUE (VIT C), NON ASSOCIEE"
"A11GA01"	"ASCORBIC ACID (VIT C)"	"ACIDE ASCORBIQUE (VIT C)"
"A11GB"	"ASCORBIC ACID (VITAMIN C), COMBINATIONS"	"ACIDE ASCORBIQUE (VIT C), ASSOCIATIONS"
"A11GB01"	"ASCORBIC ACID (VIT C) AND CALCIUM"	"ACIDE ASCORBIQUE (VIT C) ET CALCIUM"
"A11H"	"OTHER PLAIN VITAMIN PREPARATIONS"	"AUTRES PREPARATIONS VITAMINIQUES NON ASSOCIEES"
"A11HA"	"OTHER PLAIN VITAMIN PREPARATIONS"	"AUTRE PREPARATION VITAMINIQUE, NON ASSOCIEE"
"A11HA01"	"NICOTINAMIDE"	"NICOTINAMIDE"
"A11HA02"	"PYRIDOXINE (VIT B6)"	"PYRIDOXINE (VIT B6)"
"A11HA03"	"TOCOPHEROL (VIT E)"	"TOCOPHEROL (VIT E)"
"A11HA04"	"RIBOFLAVIN (VIT B2)"	"RIBOFLAVINE (VIT B2)"
"A11HA05"	"BIOTIN"	"BIOTINE"
"A11HA06"	"PYRIDOXAL PHOSPHATE"	"PYRIDOXAL PHOSPHATE"
"A11HA07"	"INOSITOL"	"INOSITOL"
"A11HA30"	"DEXPANTHENOL"	"DEXPANTHENOL"
"A11HA31"	"CALCIUM PANTOTHENATE"	"CALCIUM PANTOTHENATE"
"A11HA32"	"PANTETHINE"	"PANTETHINE"
"A11J"	"OTHER VITAMIN PRODUCTS, COMBINATIONS"	"AUTRES MEDICAMENTS VITAMINIQUES, ASSOCIATIONS"
"A11JA"	"COMBINATIONS OF VITAMINS"	"ASSOCIATIONS DE VITAMINES"
"A11JB"	"VITAMINS WITH MINERALS"	"VITAMINES AVEC MINERAUX"
"A11JC"	"VITAMINS, OTHER COMBINATIONS"	"VITAMINES, AUTRES ASSOCIATIONS"
"A12"	"MINERAL SUPPLEMENTS"	"SUPPLEMENTS MINERAUX"
"A12A"	"CALCIUM"	"CALCIUM"
"A12AA"	"CALCIUM"	"CALCIUM"
"A12AA01"	"CALCIUM PHOSPHATE"	"CALCIUM PHOSPHATE"
"A12AA02"	"CALCIUM GLUBIONATE"	"CALCIUM GLUBIONATE"
"A12AA03"	"CALCIUM GLUCONATE"	"CALCIUM GLUCONATE"
"A12AA04"	"CALCIUM CARBONATE"	"CALCIUM CARBONATE"
"A12AA05"	"CALCIUM LACTATE"	"CALCIUM LACTATE"
"A12AA06"	"CALCIUM LACTATE GLUCONATE"	"CALCIUM GLUCONOLACTATE"
"A12AA07"	"CALCIUM CHLORIDE"	"CALCIUM CHLORURE"
"A12AA08"	"CALCIUM GLYCERYLPHOSPHATE"	"CALCIUM GLYCEROPHOSPHATE"
"A12AA09"	"CALCIUM CITRATE LYSINE COMPLEX"	"CALCIUM CITRATE LYSINE COMPLEXE"
"A12AA10"	"CALCIUM GLUCOHEPTONATE"	"CALCIUM GLUCOHEPTONATE"
"A12AA11"	"CALCIUM PANGAMATE"	"CALCIUM PANGAMATE"
"A12AA12"	"CALCIUM ACETATE ANHYDROUS"	"ACETATE DE CALCIUM ANHYDRE"
"A12AA20"	"CALCIUM (DIFFERENT SALTS IN COMBINATION)"	"CALCIUM (DIFFERENTS SELS EN ASSOCIATION)"
"A12AA30"	"CALCIUM LAEVULATE"	"CALCIUM LEVULINATE"
"A12AX"	"CALCIUM, COMBINATIONS WITH OTHER DRUGS"	"CALCIUM EN ASSOCIATION AVEC D'AUTRES SUBSTANCES"
"A12B"	"POTASSIUM"	"POTASSIUM"
"A12BA"	"POTASSIUM"	"DERIVES POTASSIQUES"
"A12BA01"	"POTASSIUM CHLORIDE"	"POTASSIUM CHLORURE"
"A12BA02"	"POTASSIUM CITRATE"	"POTASSIUM CITRATE"
"A12BA03"	"POTASSIUM HYDROGENTARTRATE"	"POTASSIUM BITARTRATE"
"A12BA04"	"POTASSIUM HYDROGENCARBONATE"	"POTASSIUM BICARBONATE"
"A12BA05"	"POTASSIUM GLUCONATE"	"POTASSIUM GLUCONATE"
"A12BA30"	"COMBINATIONS"	"ASSOCIATIONS"
"A12BA51"	"POTASSIUM CHLORIDE, COMBINATIONS"	"POTASSIUM CHLORURE EN ASSOCIATION"
"A12C"	"OTHER MINERAL SUPPLEMENTS"	"AUTRES SUPPLEMENTS MINERAUX"
"A12CA"	"SODIUM"	"SODIUM"
"A12CA01"	"SODIUM CHLORIDE"	"SODIUM CHLORURE"
"A12CA02"	"SODIUM SULFATE"	"SODIUM SULFATE"
"A12CB"	"ZINC"	"ZINC"
"A12CB01"	"ZINC SULFATE"	"ZINC SULFATE"
"A12CB02"	"ZINC GLUCONATE"	"ZINC GLUCONATE"
"A12CB03"	"ZINC PROTEIN COMPLEX"	"ZINC PROTEINE COMPLEXE"
"A12CC"	"MAGNESIUM"	"MAGNESIUM"
"A12CC01"	"MAGNESIUM CHLORIDE"	"MAGNESIUM CHLORURE"
"A12CC02"	"MAGNESIUM SULFATE"	"MAGNESIUM SULFATE"
"A12CC03"	"MAGNESIUM GLUCONATE"	"MAGNESIUM GLUCONATE"
"A12CC04"	"MAGNESIUM CITRATE"	"MAGNESIUM CITRATE"
